StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,prolificid,moral_concern_1_1,moral_concern_1_2,moral_concern_1_3,moral_concern_1_4,moral_concern_1_5,moral_concern_1_6,moral_concern_1_7,moral_concern_1_8,moral_concern_1_9,moral_concern_1_10,moral_concern_1_11,moral_concern_1_12,moral_concern_1_13,moral_concern_1_14,moral_concern_1_15,moral_concern_1_16,moral_concern_1_17,moral_concern_1_18,moral_concern_1_19,moral_concern_1_20,moral_concern_1_21,moral_concern_1_22,moral_concern_1_23,moral_concern_1_24,moral_concern_1_25,moral_concern_1_26,moral_concern_1_27,moral_concern_1_28,moral_concern_1_29,moral_concern_1_30,moral_concern_1_31,moral_concern_1_32,moral_concern_1_33,moral_concern_1_34,moral_concern_1_35,moral_concern_1_36,moral_concern_1_37,moral_concern_1_38,moral_concern_1_39,moral_concern_1_40,moral_concern_1_41,moral_concern_1_42,moral_concern_1_43,moral_concern_1_44,moral_concern_1_45,moral_concern_1_46,moral_concern_1_47,moral_concern_1_48,moral_concern_1_49,moral_concern_1_50,moral_concern_1_51,moral_concern_1_52,moral_concern_1_53,moral_concern_1_54,moral-concern_2_1,moral-concern_2_2,moral-concern_2_3,moral-concern_2_4,moral-concern_2_5,moral-concern_2_6,moral-concern_2_7,moral-concern_2_8,moral-concern_2_9,moral-concern_2_10,moral-concern_2_11,moral-concern_2_12,moral-concern_2_13,moral-concern_2_14,moral-concern_2_15,moral-concern_2_16,moral-concern_2_17,moral-concern_2_18,moral-concern_2_19,moral-concern_2_20,moral-concern_2_21,moral-concern_2_22,moral-concern_2_23,moral-concern_2_24,moral-concern_2_25,moral-concern_2_26,moral-concern_2_27,moral-concern_2_28,moral-concern_2_29,moral-concern_2_30,moral-concern_2_31,moral-concern_2_32,moral-concern_2_33,moral-concern_2_34,moral-concern_2_35,moral-concern_2_36,moral-concern_2_37,moral-concern_2_38,moral-concern_2_39,moral-concern_2_40,moral-concern_2_41,moral-concern_2_42,moral-concern_2_43,moral-concern_2_44,moral-concern_2_45,moral-concern_2_46,moral-concern_2_47,moral-concern_2_48,moral-concern_2_49,moral-concern_2_50,moral-concern_2_51,moral-concern_2_52,moral-concern_2_53,moral-concern_2_54,reduce_meat_1,reduce_meat_2,reduce_meat_3,reduce_meat_4,reduce_meat_5,reduce_meat_6,reduce_meat_7,reduce_meat_8,reduce_meat_9,reduce_meat_10,diet,diet_5_TEXT,breakfast_meat,lunch_meat,dinner_meat,age,gender,gender_9_TEXT,nationality,religious,politics,comment
09-04-21 16:58,09-04-21 17:07,0,100,555,1,09-04-21 17:07,R_2t69awhlGStAUCD,NA,NA,NA,NA,anonymous,EN,5f2ad259fcefd53b7e09cebf,9,6,7,7,7,6,7,5,6,4,4,7,3,4,4,6,6,6,6,6,7,7,6,7,5,3,6,7,7,8,9,9,9,8,8,7,7,7,8,7,8,8,9,8,6,6,6,5,7,6,4,6,6,3,9,7,6,7,8,6,8,6,6,3,5,7,3,4,4,4,6,3,5,6,8,7,6,5,5,3,6,7,7,7,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,4,5,6,4,2,2,2,2,2,2,1,1,1,1,1,,2,7,6,20,0,,183,1,1,
09-04-21 16:58,09-04-21 17:07,0,100,524,1,09-04-21 17:07,R_12y8Lp1vmOvzy7U,NA,NA,NA,NA,anonymous,EN,570e3d20ceaf25000f143d4c,5,7,6,5,6,6,4,4,6,2,5,6,1,1,1,4,2,1,5,7,6,6,6,5,1,1,5,6,6,7,9,8,9,8,6,8,7,6,8,7,6,8,6,8,8,3,3,2,7,5,2,6,8,7,6,7,5,5,5,6,4,5,4,2,4,6,1,1,1,4,2,1,2,6,7,6,6,5,1,1,6,6,7,6,9,8,9,7,7,8,7,7,7,6,5,7,7,8,7,3,3,3,7,3,3,7,7,6,2,2,2,2,2,2,2,1,1,1,1,,1,1,6,78,0,,183,0,-1,
09-04-21 16:58,09-04-21 17:07,0,100,548,1,09-04-21 17:07,R_3NOJ6iz4BbjzaGF,NA,NA,NA,NA,anonymous,EN,57fe08ea8f420f00011a5bd4,9,8,8,8,8,8,6,8,8,7,7,9,8,8,7,8,8,6,8,8,9,7,8,6,8,7,7,8,9,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,8,8,7,8,6,6,8,8,4,9,7,8,8,8,8,7,8,8,7,7,8,7,6,7,7,8,6,7,8,8,6,8,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,6,8,8,5,2,2,2,2,2,2,2,2,2,2,1,,3,2,3,60,0,,183,0,-1,
09-04-21 16:51,09-04-21 17:08,0,100,973,1,09-04-21 17:08,R_1N7V1DogUq1dhm1,NA,NA,NA,NA,anonymous,EN,5f103dab3f8a36000a97284b,9,8,9,9,8,8,8,8,9,7,8,9,7,7,7,9,9,8,8,9,9,9,9,8,8,7,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,6,7,4,8,9,8,9,9,9,9,9,9,9,8,8,8,8,8,7,8,9,7,7,7,8,8,7,8,9,9,9,9,8,8,8,8,9,9,9,9,9,9,8,9,9,9,8,9,9,9,9,9,9,9,4,4,3,8,8,8,9,9,9,2,2,2,2,2,2,2,2,2,2,1,,2,3,4,20,0,,183,0,-2,
09-04-21 16:56,09-04-21 17:09,0,100,738,1,09-04-21 17:09,R_3PTE9NL8pzEiBpj,NA,NA,NA,NA,anonymous,EN,5c7eb22a78402100172fb02c,9,9,9,9,9,9,7,9,9,2,5,9,1,2,1,7,8,2,7,9,8,4,9,1,2,2,9,9,9,9,9,5,9,3,3,3,3,3,3,1,6,3,3,4,3,1,1,1,4,6,3,4,5,5,9,9,9,9,9,9,7,9,9,2,4,8,1,2,1,7,8,2,8,9,7,7,9,1,2,2,7,9,9,9,9,5,9,3,3,2,3,3,3,1,5,3,3,3,3,1,1,1,4,5,6,5,5,4,2,2,2,2,2,2,1,1,1,1,2,,1,1,3,21,0,,183,0,0,none
09-04-21 16:56,09-04-21 17:10,0,100,807,1,09-04-21 17:10,R_3ENhGGZgg2KWl6e,NA,NA,NA,NA,anonymous,EN,5bff0a8e5e624e0001ad3eb0,3,7,7,4,7,7,6,5,6,1,2,2,1,2,1,1,2,1,4,6,6,3,7,1,2,6,6,7,8,9,8,9,9,9,7,9,9,7,7,8,9,8,9,7,9,6,2,4,6,5,3,4,8,2,2,7,6,5,5,6,3,5,5,1,2,2,1,2,1,2,2,1,4,5,4,2,6,1,2,3,4,7,8,9,9,9,9,9,8,9,8,8,7,8,9,7,9,7,9,2,2,2,6,4,2,3,8,4,2,1,1,1,1,1,1,1,1,1,1,,1,1,2,68,1,,183,0,1,
09-04-21 16:59,09-04-21 17:11,0,100,724,1,09-04-21 17:11,R_2EFe7Uenvem1EUi,NA,NA,NA,NA,anonymous,EN,5a1d4ceb5d06850001b011cb,3,2,4,3,4,4,4,3,3,3,3,4,2,3,2,4,2,2,2,4,3,2,3,2,1,3,2,3,5,3,6,9,8,6,2,7,4,2,6,1,6,6,6,3,3,1,1,1,5,3,2,5,5,7,4,3,3,3,4,3,4,3,3,3,3,4,2,2,2,3,2,3,2,3,3,3,2,2,1,3,2,3,4,3,7,8,8,4,6,7,4,3,4,1,6,5,6,3,4,1,1,1,5,3,3,5,4,6,1,1,1,1,1,1,1,1,1,1,5,Carnivore,4,6,7,61,1,,183,0,-3,
09-04-21 17:08,09-04-21 17:13,0,100,291,1,09-04-21 17:13,R_aWQNVCysH3B28nv,NA,NA,NA,NA,anonymous,EN,5f747367a2235001c1e4aeeb,9,6,6,5,7,4,6,5,5,4,6,8,1,3,3,3,5,2,3,5,7,4,6,3,3,1,6,7,7,5,9,9,9,7,7,7,7,4,7,7,6,7,7,8,8,1,2,1,4,4,3,5,5,6,9,5,4,5,7,5,6,4,6,3,4,6,1,2,2,3,6,2,3,4,6,4,7,2,4,1,5,6,7,6,9,9,9,8,7,7,7,4,6,6,7,4,6,8,7,1,1,1,5,6,4,6,5,4,2,2,2,1,1,1,1,1,1,1,1,,4,8,6,26,0,,183,0,-2,
09-04-21 17:10,09-04-21 17:15,0,100,314,1,09-04-21 17:15,R_ST1mDyZb3EgG121,NA,NA,NA,NA,anonymous,EN,5c3505a348ad2900017e50a4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,9,6,6,7,6,6,6,6,6,6,6,6,3,1,1,1,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,9,6,6,7,6,6,6,6,6,6,6,6,6,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,,1,8,6,33,1,,183,0,0,
09-04-21 17:09,09-04-21 17:17,0,100,495,1,09-04-21 17:17,R_3Hh16z1JZFNWHWU,NA,NA,NA,NA,anonymous,EN,5d9373e33b859d00144daca0,6,5,5,5,4,4,5,4,5,2,6,4,2,4,3,3,3,3,3,4,4,4,5,4,3,3,3,5,5,5,9,8,9,7,7,7,6,8,8,9,8,8,8,8,7,1,1,1,3,3,2,3,4,2,5,4,5,4,4,4,5,4,4,2,3,3,2,3,4,2,3,2,2,4,4,4,3,2,3,2,3,4,4,4,9,9,9,8,7,7,6,8,8,9,9,9,8,7,6,1,1,1,3,3,2,2,4,3,2,1,1,1,1,1,1,1,1,1,1,,5,8,7,37,1,,183,0,-1,
09-04-21 17:13,09-04-21 17:18,0,100,336,1,09-04-21 17:18,R_qOwlKuoPRNWedH3,NA,NA,NA,NA,anonymous,EN,5f37f2d6d5b7e82a1f62d54a,8,8,8,8,8,8,8,8,8,8,8,3,8,8,8,8,8,4,8,8,6,8,8,3,8,3,7,9,6,8,9,9,2,9,9,8,8,9,9,8,9,9,8,9,9,2,1,1,5,8,3,8,8,8,8,8,7,8,8,2,8,8,8,8,8,2,2,3,7,7,8,3,8,8,7,7,8,8,5,8,8,8,8,8,9,9,9,9,9,9,9,7,9,8,9,9,5,9,9,1,1,1,8,8,5,8,8,8,2,2,2,2,2,1,1,1,1,1,1,,1,1,5,20,1,,183,0,0,
09-04-21 17:10,09-04-21 17:18,0,100,487,1,09-04-21 17:18,R_3KOdpVEv1FdIPDT,NA,NA,NA,NA,anonymous,EN,602bc2c14634b2374184bc74,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,9,9,9,8,7,7,2,7,7,5,9,2,7,8,1,1,1,1,7,5,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,5,8,7,7,1,5,5,5,9,5,5,6,1,1,1,1,7,5,5,7,5,5,1,1,1,1,1,1,1,1,1,1,1,,1,8,8,33,1,,NA,0,1,there is a general bias against meat that has been unfounded through study
09-04-21 17:13,09-04-21 17:19,0,100,325,1,09-04-21 17:19,R_3sA2sctVZxYWjJu,NA,NA,NA,NA,anonymous,EN,5f1305051d80f12cccbca0bf,9,8,8,8,8,7,8,8,8,1,6,8,1,1,1,8,8,4,6,8,9,8,8,7,2,6,5,8,8,8,9,9,9,8,8,8,8,8,7,7,9,8,9,9,3,1,1,1,5,2,1,8,6,3,8,8,8,8,8,6,7,5,8,3,5,8,8,2,1,8,8,3,7,7,8,8,8,8,3,6,4,8,8,8,9,8,9,8,7,8,7,6,5,7,8,6,8,9,1,1,1,1,8,4,2,7,4,5,2,2,2,2,2,2,1,1,1,1,1,,2,3,4,75,1,,183,0,1,
09-04-21 17:11,09-04-21 17:19,0,100,467,1,09-04-21 17:19,R_2CVtSufCqfN8Iw0,NA,NA,NA,NA,anonymous,EN,5fd663cfca8ec95558f86383,5,5,7,5,4,3,3,5,4,2,3,6,2,1,1,2,3,3,1,4,6,5,5,2,2,2,2,5,8,8,9,9,9,8,8,8,8,5,9,8,8,8,9,6,7,2,1,2,7,6,4,6,6,5,5,5,6,5,5,5,4,5,5,2,2,5,1,2,1,2,3,3,1,4,7,5,5,1,2,4,1,5,8,8,9,9,9,8,8,8,8,7,8,8,8,8,8,6,8,1,1,1,6,6,5,6,7,7,2,2,2,2,2,2,1,1,1,1,1,,3,5,6,36,0,,183,0,1,
09-04-21 17:09,09-04-21 17:20,0,100,634,1,09-04-21 17:20,R_BCVncJwOwmkgQzD,NA,NA,NA,NA,anonymous,EN,5f13141f9b4f8216be9d1ec3,9,7,7,6,7,7,8,7,7,3,3,7,1,2,1,7,8,4,2,9,9,7,7,3,2,4,5,9,8,8,8,8,8,7,4,7,7,6,7,3,6,8,7,7,7,7,3,1,9,5,6,8,8,3,9,7,8,3,7,7,7,7,7,2,3,8,1,1,1,7,8,7,2,7,9,7,8,3,2,2,3,8,8,8,8,8,8,7,6,7,7,6,6,6,7,7,7,8,7,2,3,1,8,7,6,8,8,7,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,53,1,,183,0,-1,demographic list is a little off. I do not eat meat or poultry. - You'd save a lot of time by asking that question much earlier
09-04-21 17:13,09-04-21 17:20,0,100,448,1,09-04-21 17:20,R_2rMFgVeTAuI82Nd,NA,NA,NA,NA,anonymous,EN,5e8a34563f06406ceb659473,9,8,8,6,5,3,4,4,5,5,3,8,1,1,1,5,1,1,1,6,5,3,3,5,1,1,1,5,6,5,9,9,9,5,6,6,4,5,5,9,9,6,9,5,5,1,1,1,5,5,5,6,7,1,9,8,7,6,5,5,5,5,5,5,5,1,1,1,1,5,1,1,1,6,5,1,4,5,1,1,1,5,6,5,9,9,9,5,6,6,5,5,5,9,9,6,9,5,5,1,1,1,5,5,5,6,6,1,2,2,2,2,2,1,1,1,1,1,1,,1,2,7,23,0,,183,0,-1,
09-04-21 17:13,09-04-21 17:21,0,100,479,1,09-04-21 17:21,R_oYOzMtAZxkPQlX3,NA,NA,NA,NA,anonymous,EN,5c447135948e4100015ca29d,7,6,7,7,7,7,7,7,6,6,8,9,4,7,5,7,7,7,6,7,9,7,8,7,6,7,7,7,9,8,8,9,8,7,8,7,8,5,7,5,6,8,8,9,9,3,1,3,9,7,6,9,8,6,7,7,7,7,7,7,7,7,7,7,8,9,7,7,7,7,7,7,6,7,8,7,7,7,7,7,7,7,8,7,7,7,9,7,7,6,9,5,7,6,6,7,9,9,9,3,1,3,9,7,7,9,9,8,2,2,2,2,2,2,2,2,2,2,1,,1,1,2,27,0,,183,0,-2,
09-04-21 17:15,09-04-21 17:21,0,100,355,1,09-04-21 17:21,R_3Gm63gD6OQrRbou,NA,NA,NA,NA,anonymous,EN,5d4603a423a12600012021a1,4,4,4,4,4,4,5,4,4,4,5,4,3,3,3,4,4,3,4,4,4,4,4,2,4,3,3,4,4,4,8,8,8,6,6,6,6,5,6,5,4,4,6,7,6,3,3,1,4,3,4,3,4,4,3,5,4,3,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,4,3,4,4,4,3,8,8,8,7,7,8,7,6,6,7,6,7,7,7,7,2,2,1,4,3,3,3,4,4,2,2,2,1,1,1,1,1,1,1,1,,1,4,6,29,0,,183,0,-2,
09-04-21 17:15,09-04-21 17:22,0,100,417,1,09-04-21 17:22,R_sT2oOvMGzls0kKt,NA,NA,NA,NA,anonymous,EN,5caa2d8967451a0015304067,7,6,7,6,6,6,6,6,6,2,5,6,5,5,4,7,5,4,3,6,7,7,6,5,4,5,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,4,4,6,6,5,7,7,6,6,6,6,6,6,6,6,6,6,3,5,6,4,4,4,6,5,4,4,6,6,6,6,5,4,5,4,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,3,3,5,6,5,6,6,6,2,2,2,2,2,1,1,1,1,1,1,,3,5,8,43,1,,183,0,0,
09-04-21 17:16,09-04-21 17:22,0,100,367,1,09-04-21 17:22,R_3m3kZmSTDm5BeZ0,NA,NA,NA,NA,anonymous,EN,5f4c0acfc3368e6fbfc17c70,6,4,6,4,4,4,3,2,3,2,3,3,2,3,1,2,2,2,2,6,6,5,2,1,1,2,4,6,7,7,9,9,8,5,4,5,6,3,5,3,9,6,5,8,6,1,1,1,7,4,3,8,4,4,6,3,4,3,3,4,3,3,3,2,2,3,1,1,1,4,2,2,2,4,6,5,2,2,2,2,2,5,6,6,9,8,9,5,6,6,5,4,4,4,9,8,5,8,7,1,1,1,6,4,4,6,3,3,2,2,2,2,2,1,1,1,1,1,1,,3,4,5,54,0,,183,0,0,
09-04-21 17:15,09-04-21 17:22,0,100,420,1,09-04-21 17:22,R_3CAUG2ERO7NUM0b,NA,NA,NA,NA,anonymous,EN,5e5913ae7a584411eb9ab586,9,7,4,4,7,8,2,3,3,1,6,9,1,1,1,2,2,2,1,5,9,6,4,4,1,1,1,9,8,8,9,9,9,8,8,8,8,1,6,5,8,4,9,9,8,1,1,1,8,8,1,8,8,5,9,3,5,2,7,4,2,3,3,1,3,9,1,1,1,4,2,2,1,7,5,7,4,2,1,1,1,7,8,8,9,9,9,8,7,8,8,4,5,5,8,4,8,8,8,1,1,1,8,4,2,8,8,4,2,2,2,2,2,2,2,2,2,2,1,,1,1,4,46,0,,183,0,0,
09-04-21 17:15,09-04-21 17:22,0,100,431,1,09-04-21 17:22,R_a3IlufqlPmSDLNL,NA,NA,NA,NA,anonymous,EN,5e273d37a3f8360463228480,9,6,7,3,3,3,3,3,3,1,4,8,1,1,1,4,1,4,1,5,7,4,6,1,1,6,1,6,7,8,9,9,9,7,7,9,8,6,9,6,9,5,7,9,7,4,1,1,6,4,1,7,7,1,9,6,7,3,3,4,3,3,3,1,3,9,1,1,1,5,1,1,1,6,7,2,7,1,1,7,1,6,7,8,9,9,9,7,7,9,8,6,8,6,8,4,9,9,7,4,1,1,4,3,1,5,8,1,2,2,2,1,1,1,1,1,1,1,1,,5,7,7,52,1,,183,0,-2,
